Title,Date,Creator and role,Department,Medium text statement,IRN,Image Filename,colour0,colour1,colour2,colour3,colour4,CSS_colour0,CSS_colour1,CSS_colour2,CSS_colour3,CSS_colour4
Hills and dam,c.1930,"MACQUEEN, Kenneth - ",Australian Art,"Watercolour with pencil, heightened with white",14578,2002.132_002.jpg,#4c6d6e,#818c82,#3a3d2c,#b4a481,#9c834a,dimgray,gray,darkslategray,rosybrown,peru
(Cattle and creek),1931,"MACQUEEN, Kenneth - ",Australian Art,Watercolour over pencil,14433,2002.133_002.jpg,#5c5c29,#a88f5c,#496563,#857634,#323e20,darkolivegreen,darkkhaki,dimgray,olivedrab,darkslategray
Morning ride,c.1946,"MACQUEEN, Kenneth - ",Australian Art,Watercolour over pencil,14841,2006.253_002.jpg,#938461,#393b30,#a59b84,#59727b,#6d6343,gray,darkslategray,rosybrown,dimgray,darkolivegreen
The march past,1935,"MACQUEEN, Kenneth - ",Australian Art,Watercolour over pencil,30538,2018.008_001.jpg,#606f6d,#e7dec4,#cb7157,#c8b698,#9c6a50,dimgray,wheat,indianred,tan,sienna
At anchor off a Barrier Reef island,c.1938-39,"MACQUEEN, Kenneth - ",Australian Art,Watercolour with pencil,30539,2018.009_001.jpg,#e2d9c0,#2b5e77,#4f8691,#c2ae91,#677260,wheat,darkslategray,cadetblue,tan,dimgray
Cloud arrangement,c.1945,"MACQUEEN, Kenneth - ",Australian Art,Watercolour over pencil,30540,2018.010_001.jpg,#95b9af,#dddcc2,#506460,#679e9f,#b7cab8,darkgray,lightgray,dimgray,cadetblue,silver
Wheat motive,c.1959,"MACQUEEN, Kenneth - ",Australian Art,Watercolour over pencil,30541,2018.011_001.jpg,#d3c5a4,#818b81,#494b49,#6a6c62,#ba9862,tan,gray,darkslategray,dimgray,darkkhaki
Early morning calm,c.1951,"MACQUEEN, Kenneth - ",Australian Art,Watercolour,30483,2019.023_001.jpg,#759898,#a1b7af,#394c56,#caceb8,#59807b,lightslategray,darkgray,darkslategray,silver,slategray
Tiger,c.1977,"MACQUEEN, Mary - ",Contemporary Australian Art,Pencil,12888,2-1124_001.jpg,#d1c4be,#5b4e48,#b2a5a0,#d9ccc6,#8c7f7a,silver,darkolivegreen,darkgray,lightgray,gray
Pelican,1975,"MACQUEEN, Mary - ",Australian Art,Pencil,13994,2-1149_001.jpg,#d6cecb,#837c79,#d3cac7,#aaa3a0,#58514f,lightgray,gray,lightgray,darkgray,dimgray
Old church in Telemark,1954,"MacTAGGART, William - ",International Art,Oil,1620,1-0757_001.jpg,#323a32,#7d6e59,#fdfdfc,#5d5442,#a49077,darkslategray,dimgray,snow,darkolivegreen,rosybrown
Koza (string bag),2018,"MADADA, Joy Wongatina Pazabeto - ",Pacific Art,Nylon,32295,2018.263_001.jpg,#4a9399,#fefefd,#c0c3bb,#7fb4b8,#dee0da,cadetblue,white,silver,mediumaquamarine,gainsboro
Koza (string bag),2018,"MADADA, Joy Wongatina Pazabeto - ",Pacific Art,Nylon,32297,2018.264_001.jpg,#fdfdfd,#2f2b2b,#c5b4af,#a25a5d,#e0d8d3,white,darkslategray,silver,indianred,gainsboro
Koza (string bag),2018,"MADADA, Joy Wongatina Pazabeto - ",Pacific Art,Nylon,32298,2018.265_001.jpg,#fefefd,#244936,#745a66,#d48931,#c9c2b7,white,darkslategray,dimgray,peru,silver
Visu (mat),2018,"MADADA, Joy Wongatina Pazabeto - ",Pacific Art,Pandanus and kareke leaf,32311,2018.270_001.jpg,#ccb293,#614739,#927361,#7a5e4d,#f1e9e6,tan,darkolivegreen,gray,dimgray,linen
Visu (mat),2018,"MADADA, Joy Wongatina Pazabeto - ",Pacific Art,Pandanus and kareke leaf,32312,2018.271_001.jpg,#927863,#ede4df,#755646,#c5b297,#40312f,gray,antiquewhite,dimgray,tan,darkslategray
Usia (carrying rope),2018,"MADADA, Joy Wongatina Pazabeto - ",Pacific Art,Natural fibre,32306,2018.272_001.jpg,#f7f7f7,#9e886f,#dbd8d2,#b7ada0,#79634a,whitesmoke,gray,lightgray,darkgray,dimgray
"The Nimble Jackal, It's Face A Grimace of Grasping Teeth ""There Are Gate Within Gates Within Gates"" A Man Rolls His Right Eye In And Out, To & Over A Rarely Preserved Ancient Mushroom And The Mushroom Said ""Dead Mans Bread Death Days With With Flesh Of The Deities Crystal Skull (Below) Is Attributed To A Knife Tongued Coyote (Right). An Inmate (Above)""",2005,"MADDEN, Peter - ",Pacific Art,"Watercolour, metallic foil, collage",9079,2010.292a-h_001.jpg,#704540,#ad907a,#202022,#035474,#050507,darkolivegreen,rosybrown,black,teal,black
Storage jar (kuan),"Neolithic period, Majiayao phase (3500-3000 BCE)","YANGSHAO CULTURE,  - ",Asian Art,"Swelling earthenware shape, narrowing to the base, with narrow neck and two lugs set vertically at the maximum diameter, painted with black pigment in a band of large swirls below a band of circular panels enclosing a star motif reserved on a cross-hatched ground",2547,2004.022_001.jpg,#fdfdfc,#1f1513,#d6bba2,#a6785c,#593e36,snow,black,tan,indianred,darkolivegreen
Storage jar (kuan),"Neolithic period, Banshan phase (3000-2500 BCE)","YANGSHAO CULTURE,  - ",Asian Art,"Swelling earthenware shape, narrowing to the base, with flared mouth and two lugs set vertically at the maximum diameter, painted with black and maroon pigments in a band of large diamond shaped motifs below a narrow band of wave crest pattern repeated on the neck and inside the mouth",2483,2004.023_001.jpg,#dab198,#6d4c42,#fefdfe,#a47d6b,#2b181a,tan,darkolivegreen,white,gray,black
Horse,618-907 (Tang dynasty),"UNKNOWN,  - ",Asian Art,"Mould-cast earthenware, cream glaze, yellow-ochre lead glaze",16181,2012.016_001.jpg,#867d76,#bf9b70,#c9bdb0,#746a5f,#a39b97,gray,darkkhaki,silver,dimgray,darkgray
Hanging scroll: 'Cleaning eighty-four thousand residences',early-mid 20th century,"DEIRYU (SOJUN Kanshu),  - ",Asian Art,Ink,9353,2009.063_001.jpg,#9f8a66,#eeefef,#d2b07c,#d1bfa3,#494034,gray,whitesmoke,tan,tan,darkslategray
Tea bowl,960-1127 (Sung Period),"UNKNOWN,  - ",Asian Art,"Stoneware, thrown flaring dark red body with 'hares fur glaze",15201,4-1002_002.jpg,#55514d,#c9c6c2,#8e8b86,#2d2a29,#f6f2ef,darkslategray,silver,gray,darkslategray,whitesmoke
Bowl,1271-1368 (Yuan Period),"YUAN STYLE,  - ",Asian Art,White clay stoneware body with relief linear decoration to exterior.  Clear glaze,6388,4-1131_002.jpg,#c7b89b,#faf6f3,#877a60,#dfd2be,#aea082,tan,whitesmoke,gray,lightgray,rosybrown
Ten working drawings for 'Tromemanner - forgive us our trespass I-IV',1988-89,"MADDOCK, Bea - ",Contemporary Australian Art,Pastel and pencil,9544,1990.508a-j_001_part a.jpg,#eeeee6,#93bac0,#e9d7ae,#67a5b6,#dde0d3,linen,darkgray,wheat,cadetblue,gainsboro
Artifacts from Tromemanner,1990,"MADDOCK, Bea - ",Contemporary Australian Art,"Book of 28 bound leaves, each with hand-coloured etching",9944,1991.066_009_detail.jpg,#f1e5da,#b09e83,#403324,#e8d4bb,#d1c1ae,antiquewhite,rosybrown,darkslategray,wheat,silver
Forty pages from Antarctica (portfolio),1988,"MADDOCK, Bea - ",Contemporary Australian Art,"Etching and embossing on 21 sheets containing 40 compositions, with handcolouring",2794,1996.017a-u_001_part a.jpg,#e8e8e8,#beb6b4,#f6d499,#d1d1d6,#ebebeb,lavender,silver,khaki,lightgray,lavender
TERRA SPIRITUS ... with a darker shade of pale,1993-98,"MADDOCK, Bea - ",Contemporary Australian Art,"Incised drawings, worked with hand-ground natural pigments over letterpress and finished with hand-drawn script",8961,1999.116a-yy_009_part a.jpg,#d55d28,#a1330e,#ebd9c5,#ea7e4b,#b4421a,chocolate,saddlebrown,wheat,coral,sienna
"Exhibition poster: Bea Maddock ""Ideas evolved"" 1960-70",1970,"MADDOCK, Bea - ",Australian Art,Woodblock print and letterpress,35726,2020.395_001.jpg,#363539,#f1f2ea,#979792,#646361,#c8c8c2,darkslategray,linen,darkgray,dimgray,silver
After showers (Preliminary drawing of the Tunbridge Hills for 'Tromemanner - forgive us our trespass I-IV' 1988-89),1988,"MADDOCK, Bea - ",Contemporary Australian Art,Pencil and pastel,25824,2020.396_001.jpg,#868456,#c0cac8,#758a84,#a49d7e,#e4e5d6,gray,silver,gray,rosybrown,gainsboro
Changeable weather but not as this is North East rain squalls (Preliminary drawing of the Tunbridge Hills for 'Tromemanner - forgive us our trespass I-IV' 1988-89),1988,"MADDOCK, Bea - ",Contemporary Australian Art,Pencil and pastel,25821,2020.397_0001.jpg,#dbdcd1,#b9b5a2,#979d99,#c8c5b4,#c7cfd1,gainsboro,darkgray,darkgray,silver,lightgray
North East rain squalls November (Preliminary drawing of the Tunbridge Hills for 'Tromemanner - forgive us our trespass I-IV' 1988-89),1988,"MADDOCK, Bea - ",Contemporary Australian Art,Pencil and pastel,25820,2020.398_001.jpg,#e1e8e0,#bdae7c,#c0cacd,#cdc397,#a49a67,gainsboro,darkkhaki,silver,tan,darkkhaki
Showers (Preliminary drawing of the Tunbridge Hills for 'Tromemanner - forgive us our trespass I-IV' 1988-89),1988,"MADDOCK, Bea - ",Contemporary Australian Art,Pencil and pastel,25822,2020.399_001.jpg,#dee5e0,#989773,#c0ccd1,#ddd7bc,#b9ac83,gainsboro,gray,lightgray,lightgray,darkkhaki
To the Ice,"1991-92, issued 2014","MADDOCK, Bea - ",Contemporary Australian Art,"Book: 132 unbound pages, zinc relief photo-etching, copper plate engraving, and monotype letterpress, printed in off-white ink",25829,2020.408.001-135_001_part 3.jpg,#f3f6ef,#dfdac9,#fdfbf5,#e9e9dc,#f5f8f1,whitesmoke,lightgray,floralwhite,beige,whitesmoke
Figure fleeing,1988,"MADDOCK, Bea - Artist; RAWLING, Larry - Printer",Contemporary Australian Art,"Photo-screenprint, pencil",25819,2020.401_001.jpg,#80645e,#e7ecef,#a18d84,#395667,#3c3f41,dimgray,lavender,rosybrown,darkslategray,darkslategray
Figure fleeing,1988,"MADDOCK, Bea - Artist; RAWLING, Larry - Printer",Contemporary Australian Art,Photo-screenprint,35725,2020.402_001.jpg,#cac9c0,#e6ecee,#394042,#4e6473,#9b847d,silver,lavender,darkslategray,dimgray,gray
Figure standing,1988,"MADDOCK, Bea - Artist; RAWLING, Larry - Printer",Contemporary Australian Art,"Photo-screenprint, pencil",25818,2020.403_001.jpg,#766b63,#e7ebed,#97a2a4,#3d4549,#ac8968,dimgray,lavender,darkgray,darkslategray,rosybrown
Figure standing,1988,"MADDOCK, Bea - Artist; RAWLING, Larry - Printer",Contemporary Australian Art,Photo-screenprint,35724,2020.404_001.jpg,#967c66,#e4eaeb,#cac6ba,#414d51,#a09f9b,gray,lavender,silver,darkslategray,darkgray
Fishing float,1995,"MAE, Kissie - ",Pacific Art,"Woodcut, printed in black ink, from one block impression",20866,2014.360_001.jpg,#c4a275,#362c21,#eae9e5,#927d5f,#5d4e3b,darkkhaki,darkslategray,linen,gray,darkolivegreen
"View in the Campagna, Rome",,"MAES, G. - ",International Art,Oil,5095,1-0047_009.jpg,#7e5917,#f4ca7a,#5f9a9c,#3c290b,#c39d55,saddlebrown,burlywood,cadetblue,black,peru
Trees and snow I,2008,"MAGUIRE, Tim - ",Contemporary Australian Art,Digital pigment ink,18507,2012.501.001_001.jpg,#17161e,#5b7cde,#8c736e,#d9d6e1,#243a7c,black,cornflowerblue,gray,gainsboro,midnightblue
Trees and snow III,2008,"MAGUIRE, Tim - ",Contemporary Australian Art,Digital pigment ink,18509,2012.501.002_001.jpg,#232f52,#dddbdb,#4c73c3,#17161d,#8b7f70,darkslategray,gainsboro,steelblue,black,gray
Trees and snow II,2008,"MAGUIRE, Tim - ",Contemporary Australian Art,Digital pigment ink,18508,2012.501.003_001.jpg,#1b275d,#5a6dcd,#161518,#dddce1,#354aa0,midnightblue,slateblue,black,gainsboro,darkslateblue
(Untitled) (from 'Volatile alliances' 1995 portfolio),1994,"MAHLATE, Dias - ",Contemporary International Art,Colour woodcut,4776,1998.055.013_001.jpg,#efecdf,#b4721b,#391c0f,#e48c0d,#75410a,beige,darkgoldenrod,black,darkorange,saddlebrown
Australian landscape,1890,"MAHONY, Frank - ",Australian Art,Oil,10656,1-0713_001.jpg,#785741,#c6b79c,#4d3831,#614a3c,#8d6a4f,darkolivegreen,tan,darkslategray,darkolivegreen,dimgray
"The death of Kennedy (from 'Picturesque Atlas of Australasia, Vol. II' 1886)",c.1886,"MAHONY, Frank - ",Australian Art,Engraving,20358,2014.016_001.jpg,#787471,#f5f1ee,#b7b3b0,#94908d,#5c5855,dimgray,whitesmoke,darkgray,gray,dimgray
Bilum (bag),2004,"MAIMA, Gau - ",Pacific Art,Looped handmade and commercial string with cassowary feathers,11089,2004.219_001.jpg,#1f1b18,#e8e8e8,#7c7d7a,#494239,#b8b9b8,black,lavender,gray,darkslategray,silver
Bilum (bag),2004,"MAIMA, Gau - ",Pacific Art,Looped handmade string with commercial dyes and rooster feathers,11209,2004.220_001.jpg,#ededec,#231a14,#776e62,#44372b,#b8b4b0,whitesmoke,black,dimgray,darkslategray,darkgray
Articulated triangular bracelet,1981,"MAKIGAWA, Carlier - ",Contemporary Australian Art,"Sterling silver, blued steel, brass",7717,4-0676_001.jpg,#ebebeb,#6a655c,#cac9c8,#3a3633,#9b9994,lavender,dimgray,silver,darkslategray,darkgray
Bamboo brooch,1981,"MAKIGAWA, Carlier - ",Contemporary Australian Art,"Steel, bamboo and enamelled copper wire",7718,4-0677_001.jpg,#e9e7e6,#b9b2ab,#2d2830,#d4b980,#8e7f67,linen,darkgray,darkslategray,burlywood,gray
Bamboo brooch,1981,"MAKIGAWA, Carlier - ",Contemporary Australian Art,"Steel, bamboo and enamelled copper wire",514,4-0678_001.jpg,#352727,#bbb8b9,#6c5b52,#908c8c,#e9e8e8,darkslategray,silver,dimgray,gray,lavender
Pendant:  Flame III,1997,"MAKIGAWA, Carlier - ",Contemporary Australian Art,Sterling and fine silver with coral,12363,1998.011_001.jpg,#f5f5f5,#958575,#75503f,#c1b09e,#e1dcd6,whitesmoke,gray,darkolivegreen,tan,gainsboro
Mt. Tibrogargan,1976,"MAKIN, Jeffrey - ",Contemporary Australian Art,Oil,10693,1-1571_001.jpg,#c9be8e,#222b2d,#d29414,#4e76d1,#576450,tan,darkslategray,goldenrod,royalblue,dimgray
Milparinka,1983,"MAKIN, Jeffrey - ",Contemporary Australian Art,Sugar-lift aquatint,10621,1984.063_001.jpg,#e5e1db,#2f2b26,#6c685b,#ada99a,#18130c,gainsboro,darkslategray,dimgray,darkgray,black
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut and wild banana leaf,31842,2018.330_001.jpg,#fefefe,#957d6f,#624c43,#2f1b16,#b8a9a1,white,gray,darkolivegreen,black,darkgray
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut and wild banana leaf,31843,2018.331_001.jpg,#fefefe,#39251e,#c5b7b1,#6c564a,#a18776,white,darkslategray,silver,dimgray,gray
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut and wild banana leaf,31844,2018.332_001.jpg,#fefefe,#3c4241,#a1897f,#745f5f,#c2b8b7,white,darkslategray,rosybrown,dimgray,silver
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut and wild banana leaf,31845,2018.333_001.jpg,#fefefe,#675146,#c3b5ae,#9f8776,#35221c,white,darkolivegreen,silver,gray,darkslategray
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut leaf with commercial dyes,31846,2018.334_001.jpg,#fefefe,#7f6661,#a28a7d,#45413d,#c7bdbc,white,dimgray,rosybrown,darkslategray,silver
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut and wild banana leaf,31847,2018.335_001.jpg,#fefefe,#301d16,#9b8273,#685146,#c0b3ad,white,black,gray,darkolivegreen,silver
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut leaf with commercial dyes,31848,2018.336_001.jpg,#fefefe,#7d6666,#493e42,#ccc1bf,#ac9489,white,dimgray,darkslategray,silver,rosybrown
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut leaf with commercial dyes,31849,2018.337_001.jpg,#63545a,#fefefe,#978780,#303a3d,#c4bebf,dimgray,white,gray,darkslategray,silver
Siwai bag (Hello),2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut and wild banana leaf,31850,2018.338_001.jpg,#c0b9b8,#fefefe,#69564d,#9e8a7e,#2d1c18,silver,white,dimgray,gray,black
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut leaf with commercial dyes,31851,2018.339_001.jpg,#fefefe,#5d505c,#958385,#2a3d45,#c4bdc1,white,dimgray,gray,darkslategray,silver
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut leaf with commercial dyes,31852,2018.340_001.jpg,#fefefe,#af9487,#4a4241,#cbc2c1,#846b66,white,rosybrown,darkslategray,silver,dimgray
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut leaf with commercial dyes,31853,2018.341_001.jpg,#fefefe,#826969,#ccc2c2,#4a4746,#ac958c,white,dimgray,silver,darkslategray,rosybrown
Siwai bag,2018,"MAKUSU, Emma Hopuhopu - ",Pacific Art,Coconut leaf with commercial dyes,32016,2018.342_001.jpg,#fefefe,#7c6365,#a69085,#424447,#c8c2c3,white,dimgray,rosybrown,darkslategray,silver
Remembering Toba Tek Singh,1998-99,"MALANI, Nalini - ",Contemporary Asian Art,20 minute videotape installation comprising 17 VCDs and one CD,13287,2000.157a-r_001_installation.jpg,#95cad5,#314b53,#c6b96b,#15181d,#4b7e86,skyblue,darkslategray,darkkhaki,black,slategray
Sita (from 'Stories retold' series),2002,"MALANI, Nalini - ",Contemporary Asian Art,"Synthetic polymer paint, watercolour and enamel",9001,2002.147_001.jpg,#aa464f,#e7c9b5,#586a5e,#d8946e,#4d8eb4,sienna,wheat,dimgray,darksalmon,steelblue
Varaha-Krishna (from 'Stories retold' series),2002,"MALANI, Nalini - ",Contemporary Asian Art,"Synthetic polymer paint, watercolour and enamel",11266,2002.148_001.jpg,#ccb5ae,#34594f,#2091c6,#dc9f5d,#a8464b,silver,darkslategray,lightseagreen,sandybrown,sienna
Mohini (from 'Stories retold' series),2002,"MALANI, Nalini - ",Contemporary Asian Art,"Synthetic polymer paint, watercolour and enamel",151,2002.150_001.jpg,#6d919c,#c04e34,#1f595d,#cf9046,#d4b89a,lightslategray,sienna,darkslategray,peru,tan
Putana (from 'Stories retold' series),2002,"MALANI, Nalini - ",Contemporary Asian Art,"Synthetic polymer paint, watercolour and enamel",3881,2002.151_001.jpg,#d49b41,#d9cdad,#d0af6f,#bb6237,#4a7853,peru,wheat,darkkhaki,sienna,seagreen
The ecstasy of Radha (from 'Stories retold' series),2002,"MALANI, Nalini - ",Contemporary Asian Art,"Synthetic polymer paint, watercolour and enamel",1538,2002.149a-c_001_composite.jpg,#cd463c,#8b5547,#c6a391,#3a5258,#d18752,indianred,sienna,tan,darkslategray,peru
Basket,1999,"MALGARRICH, Shirley - ",Indigenous Australian Art,"Woven pandanus, dyes",11146,2000.004_001.jpg,#d4d4d4,#d49723,#956411,#bb9563,#c1c0be,lightgray,goldenrod,saddlebrown,darkkhaki,silver
Radius mat,1999,"MALGARRICH, Shirley - ",Indigenous Australian Art,"Woven pandanus, dyes",3367,2000.005_001.jpg,#f5f3f3,#472927,#ab9b9a,#e1dedc,#725856,whitesmoke,darkslategray,darkgray,gainsboro,dimgray
Circular mat,2001,"MALGARRICH, Shirley - ",Indigenous Australian Art,"Woven pandanus, with traditional dyes and natural pigments",14462,2001.135_003.jpg,#b3907f,#f4f1f0,#8d6350,#d3c4be,#5d392a,rosybrown,whitesmoke,sienna,silver,darkolivegreen
Jina-bakara (fish trap),2004,"MALGARRICH, Shirley - ",Indigenous Australian Art,"Twined pandanus palm leaf (Pandanus spiralis), natural dyes and bark fibre string",14694,2004.246_002_front left.jpg,#b67f37,#dedede,#412d23,#865626,#b1aba6,peru,gainsboro,darkslategray,saddlebrown,darkgray
Fish trap,2004,"MALGARRICH, Shirley - ",Indigenous Australian Art,Twined pandanus palm leaf (Pandanus spiralis) with natural dyes,3443,2005.037_002_back right.jpg,#b3ada9,#412e23,#dedede,#b68037,#875626,darkgray,darkslategray,gainsboro,peru,saddlebrown
Fish trap,2004,"MALGARRICH, Shirley - ",Indigenous Australian Art,Twined pandanus palm leaf (Pandanus spiralis) with natural dyes,11355,2005.038_002_back left.jpg,#dedede,#865526,#412d23,#b1aba6,#b57f37,gainsboro,saddlebrown,darkslategray,darkgray,peru
Burlurpurr (Conical basket),2006,"MALGARRICH, Shirley - ",Indigenous Australian Art,Twined pandanus palm leaf with natural dyes,9046,2008.157_001.jpg,#92683e,#d3d7d0,#d6933b,#5f4530,#a19788,sienna,lightgray,peru,darkolivegreen,rosybrown
Basket,2008,"MALO, Yawi - ",Pacific Art,Coil-woven Kusapa fibre and natural dyes,2173,2009.069_001.jpg,#785630,#e6e5e4,#432d16,#b1915d,#cac6c2,saddlebrown,gainsboro,darkolivegreen,darkkhaki,silver
Minyamanja,c.1980s,"MAMINYAMANJA, Nakanapa Trevor - ",Indigenous Australian Art,Natural pigments,35298,2020.296_001.jpg,#766758,#e3e8eb,#393739,#9b9285,#664436,dimgray,lavender,darkslategray,gray,darkolivegreen
Galaburdok (dilly bag with raised stitching),1997,"MANARRDJALA, Minnie - ",Indigenous Australian Art,"Twined pandanus (Pandanus spiralis) fibre with raised stitching, natural dyes and string handle",11176,2002.042_001.jpg,#c5c5c4,#d69633,#dad9d9,#b3741b,#d8b373,silver,peru,gainsboro,darkgoldenrod,burlywood
Galaburdok (dilly bag with raised stitching),1997,"MANARRDJALA, Minnie - ",Indigenous Australian Art,"Twined pandanus (Pandanus spiralis) fibre with raised stitching, natural dyes and string handle",9557,2002.043_001.jpg,#e48f2f,#dddcdc,#c06e1a,#c3a482,#834610,goldenrod,gainsboro,chocolate,tan,saddlebrown
Birlmu (five barramundi),c.1960s,"MANDARRK, Wally - ",Indigenous Australian Art,Natural pigments,35277,2020.274_001.jpg,#885641,#dbbda8,#c3987f,#aa7658,#ebe4dc,sienna,tan,rosybrown,indianred,gainsboro
Rainbow Serpent,unknown,"MANGGUDJA, Samuel Ganarradj - ",Indigenous Australian Art,Natural pigments,35268,2020.265_001.jpg,#ac7450,#d8d1c8,#b8886a,#875940,#97634a,peru,lightgray,rosybrown,sienna,sienna
Spiral,2015,"MANNING, Ross - ",Contemporary Australian Art,"Industrial ceiling fan, swivel, synthetic fabric",21956,2015.155a-n_001.jpg,#d9d6d5,#68635c,#bdb9b7,#211d1b,#88817c,lightgray,dimgray,silver,black,gray
Ambient painting #1,2018,"MANNING, Ross - ",Contemporary Australian Art,"Synthetic polymer paint, stainless steel and dichroic glass",33094,2019.055_001.jpg,#d9d9d8,#d4d5d1,#b7bac4,#d5bfbb,#e1e4e1,gainsboro,lightgray,silver,silver,gainsboro
Fan,2003,"MANOA, Vaisamoa - ",Pacific Art,"Woven raffia over pandanus, commercially dyed feathers",9939,2003.117_002.jpg,#2b4458,#d6d5d8,#8c1a34,#998580,#c79c20,darkslategray,lightgray,brown,gray,goldenrod
Necklace,2003,"MANOA, Vaisamoa - ",Pacific Art,"Shell, nylon thread, diridamu seeds",11998,2003.118_001.jpg,#cec7a7,#635138,#eaeaea,#a19772,#e3e3e3,silver,darkolivegreen,lavender,rosybrown,gainsboro
Temar ne ari (ancestor spirit),c.1995,"MANSAK FAMILY,  - ",Pacific Art,"Natural fibres, clay, synthetic polymer paint, pig's tusks, coconut shells, bamboo and sticks",5674,2008.327_001.jpg,#6b625d,#f7f4f4,#473f3c,#998d82,#e6e3e5,dimgray,whitesmoke,darkslategray,gray,gainsboro
Temar ne ari (ancestor spirit),c.1995,"MANSAK FAMILY,  - ",Pacific Art,"Natural fibres, clay, synthetic polymer paint, ochres, coconut shells, bamboo and sticks",9698,2008.328_001.jpg,#edebec,#4e4540,#8a8281,#dcdcdc,#989b39,linen,darkslategray,gray,gainsboro,yellowgreen
Temar ne ari (ancestor spirit),c.1995,"MANSAK FAMILY,  - ",Pacific Art,"Natural fibres, clay, synthetic polymer paint, ochres, pig's tusks, bamboo and sticks",9924,2008.329_001.jpg,#f3f2f3,#453d3b,#695a53,#8c817c,#e8e7e8,whitesmoke,darkslategray,dimgray,gray,lavender
Temar ne ari (ancestor spirit),c.1995,"MANSAK FAMILY,  - ",Pacific Art,"Natural fibres, clay, synthetic polymer paint, ochres, pig's tusks, coconut shells, bamboo and sticks",401,2008.330_001.jpg,#f6f2f3,#60534d,#433834,#e7e4e7,#8e827e,whitesmoke,dimgray,darkslategray,gainsboro,gray
Temar ne ari (ancestor spirit),c.1995,"MANSAK FAMILY,  - ",Pacific Art,"Natural fibres, clay, synthetic polymer paint, coconut shells, bamboo and sticks",10114,2008.331_001.jpg,#f5f2f3,#7d675a,#9c8c83,#4a413e,#e7e5e6,whitesmoke,dimgray,gray,darkslategray,gainsboro
Guardian of tabou house figure,2005-06,"MANSAK FAMILY,  - ",Pacific Art,Carved coconut wood with natural dyes,8222,2009.206_001.jpg,#f4f4f3,#2e2c2d,#acaaab,#7d7168,#514a49,whitesmoke,darkslategray,darkgray,dimgray,darkslategray
Guardian of tabou house figure,2005-06,"MANSAK FAMILY,  - ",Pacific Art,Carved coconut wood with natural dyes,2637,2009.207_001.jpg,#574d48,#f4f4f3,#857667,#bcb9b8,#36312f,darkolivegreen,whitesmoke,gray,silver,darkslategray
Guardian of tabou house figure,2005-06,"MANSAK FAMILY,  - ",Pacific Art,Carved coconut wood with natural dyes,8308,2009.208_001.jpg,#f7f7f6,#635752,#b9b1ae,#433b39,#857b76,whitesmoke,dimgray,darkgray,darkslategray,gray
Guardian of tabou house figure,2005-06,"MANSAK FAMILY,  - ",Pacific Art,Carved coconut wood with natural dyes,11276,2009.209_001.jpg,#9e8965,#c8c5bd,#554839,#f1f0ed,#806d4f,gray,silver,darkolivegreen,whitesmoke,dimgray
Guardian of tabou house figure,2005-06,"MANSAK FAMILY,  - ",Pacific Art,Carved coconut wood with natural dyes,8309,2009.210_001.jpg,#c7c3bf,#705b4f,#f0efee,#4d423c,#aa9076,silver,dimgray,whitesmoke,darkslategray,rosybrown
I yara yara (Baby mat),2005-06,"MARA, Finau - ",Pacific Art,Woven voi voi (pandanus) with beach hibiscus and commercial wool,15284,2006.114_001.jpg,#c0ab78,#eaeae5,#7b594b,#292325,#decfa0,darkkhaki,linen,dimgray,darkslategray,palegoldenrod
I yara yara,2006,"MARA, Finau - ",Pacific Art,Baby mat:  woven and dyed voi voi (pandanus),15285,2007.161_001.jpg,#3c332d,#e0cca0,#8e7b5e,#eae7e5,#c8b07a,darkslategray,burlywood,gray,linen,darkkhaki
Mandjabu (conical fish trap),2001,"MARABAMBA, Mary - ",Indigenous Australian Art,Twined jungle vine (Malaisia scandens),11177,2002.044_001.jpg,#f6f7f4,#76614f,#a59689,#e3e2e3,#463629,whitesmoke,dimgray,rosybrown,gainsboro,darkslategray
Mague ne hiwir (ranking black palm) grade 9,c.1980,"MARAKON, Chief Michel - ",Pacific Art,Carved black palm with synthetic polymer paint,6382,2008.323_001.jpg,#eeecee,#383832,#f9f7f9,#7b7a7c,#6b342b,whitesmoke,darkslategray,whitesmoke,gray,saddlebrown
